dba_name,license_#,facility_type,address,city,state,zip
FOUR STAR LOUNGE,2368212,Restaurant,2666-2668 N HALSTED ST ,CHICAGO,IL,60614.0
TAQUERIA VARGAS,2397411,Restaurant,7152 N CALIFORNIA AVE ,CHICAGO,IL,60645.0
MEI SHUNG RESTAURANT,1579243,Restaurant,5511 N BROADWAY ,CHICAGO,IL,60640.0
BROWN BAG SEAFOOD CO.,2517238,Restaurant,3400 N LINCOLN AVE ,CHICAGO,IL,60657.0
BROWN BAG SEAFOOD CO.,2517237,Restaurant,3400 N LINCOLN AVE ,CHICAGO,IL,60657.0
SOLURI BROTHERS SANDWICH SHOP,2536097,Restaurant,601 W 43RD ST ,CHICAGO,IL,60609.0
HEARTLAND CAFE,2177842,Restaurant,7000 N GLENWOOD AVE ,CHICAGO,IL,60626.0
6 FIVE CHINESE RESTAURANT,2446115,Restaurant,201 W MADISON ST ,CHICAGO,IL,60606.0
SANDELLA'S/CAPERS,2340652,Restaurant,225 S CANAL ST ,CHICAGO,IL,60606.0
KITCHFIX,2535373,Restaurant,1731 W GRAND AVE ,CHICAGO,IL,60622.0
"FORASTERO, LLC",2542423,Restaurant,449 W NORTH AVE ,CHICAGO,IL,60610.0
WHISTLE PIG,2528503,Restaurant,2239-2241 N WESTERN AVE ,CHICAGO,IL,60647.0
DOLLOP DINER,2507003,Restaurant,5060 N CLARK ST ,CHICAGO,IL,60640.0
DOLLOP DINER,2507004,Restaurant,5060 N CLARK ST ,CHICAGO,IL,60640.0
RESIDENCE INN,2534860,Restaurant,201 E WALTON ST ,CHICAGO,IL,60611.0
J&J FISH & CHICKEN,2196482,Restaurant,8524 S STONY ISLAND AVE ,CHICAGO,IL,60617.0
DINKEL'S BAKERY INC,12891,Bakery,3329 N LINCOLN AVE ,CHICAGO,IL,60657.0
RESIDENCE INN,2534857,Restaurant,201 E WALTON ST ,CHICAGO,IL,60611.0
SOUTHERN CUT BARBECUE CAFE,2536436,Restaurant,20 W KINZIE ,CHICAGO,IL,60654.0
CO CO VIETNAMESE SANDWICHES INC.,2359449,Restaurant,1613-1615 W LAWRENCE ,CHICAGO,IL,60640.0
DUNKIN DONUTS/ BASKIN ROBINS,1969527,Restaurant,3401 W PETERSON AVE ,CHICAGO,IL,60659.0
SPECIALTY'S CAFE & BAKERY,2026584,Restaurant,525 W MONROE ST ,CHICAGO,IL,60661.0
STARBUCK'S DELI,34241,Restaurant,11601 W TOUHY AVE ,CHICAGO,IL,60666.0
SERVING CHICAGO'S FINEST,2340652,Restaurant,225 S CANAL ST ,CHICAGO,IL,60606.0
RESIDENCE INN,2534856,Restaurant,201 E WALTON ST ,CHICAGO,IL,60611.0
McDonalds,2031962,Restaurant,1951 E 95th ST ,CHICAGO,IL,60617.0
KASBAH RESTAURANT,2542421,Restaurant,4342 1/2 N ELSTON AVE ,CHICAGO,IL,60641.0
THE NEW DATING GAME,31820,Restaurant,8924 S STONY ISLAND AVE ,CHICAGO,IL,60617.0
JJ FISH & CHICKEN,2124923,Restaurant,4049 W 79TH ST ,CHICAGO,IL,60652.0
